party,total_votes,seniority,ideal_point,rss_url,domain,votes_with_party_pct,facebook_id,google_entity_id,id,state,facebook_account,missed_votes,url,missed_votes_pct,api_uri,thomas_id,middle_name,first_name,last_name,fullname,dw_nominate,next_election,total_present,twitter_account
D,502,3,,http://www.markey.senate.gov/rss/feeds/,markey.senate.gov,92.71,6846731378,kg:/m/028vr4,M000133,MA,EdJMarkey,8,http://www.markey.senate.gov,1.59,https://api.propublica.org/congress/v1/members/M000133.json,735,J.,Edward,Markey,Edward Markey,,2020,0,SenMarkey
R,502,29,,http://www.mccain.senate.gov/public/?a=rss.feed,www.mccain.senate.gov,89.75,6425923706,kg:/m/0bymv,M000303,AZ,johnmccain,14,http://www.mccain.senate.gov,2.79,https://api.propublica.org/congress/v1/members/M000303.json,754,,John,McCain,John McCain,,2016,0,SenJohnMcCain
R,502,31,,http://www.mcconnell.senate.gov/public/?a=RSS.Feed,,87.05,,kg:/m/01z6ls,M000355,KY,mitchmcconnell,0,http://www.mcconnell.senate.gov,0,https://api.propublica.org/congress/v1/members/M000355.json,1395,,Mitch,McConnell,Mitch McConnell,,2020,0,McConnellPress
D,502,10,,http://www.menendez.senate.gov/rss/feeds/,menendez.senate.gov,92.49,3.49745E+11,kg:/m/033d3p,M000639,NJ,senatormenendez,9,http://www.menendez.senate.gov,1.79,https://api.propublica.org/congress/v1/members/M000639.json,791,,Robert,Menendez,Robert Menendez,,2018,0,SenatorMenendez
D,502,29,,http://www.mikulski.senate.gov/rss/feeds/?press,,95.79,1.4289E+14,kg:/m/0206nm,M000702,MD,SenatorMikulski,27,http://www.mikulski.senate.gov,5.38,https://api.propublica.org/congress/v1/members/M000702.json,802,A.,Barbara,Mikulski,Barbara Mikulski,,2016,0,SenatorBarb
R,502,5,,,www.moran.senate.gov/public/,88.41,1.71579E+11,kg:/m/024s8t,M000934,KS,jerrymoran,19,http://www.moran.senate.gov,3.78,https://api.propublica.org/congress/v1/members/M000934.json,1507,,Jerry,Moran,Jerry Moran,,2016,0,JerryMoran
D,502,23,,http://www.murray.senate.gov/public/?a=RSS.Feed,,93.75,,kg:/m/018qx5,M001111,WA,,6,http://www.murray.senate.gov,1.2,https://api.propublica.org/congress/v1/members/M001111.json,1409,,Patty,Murray,Patty Murray,,2016,0,PattyMurray
R,502,15,,,,81.7,25271170290,kg:/m/0202kt,M001153,AK,SenLisaMurkowski,21,https://www.murkowski.senate.gov,4.18,https://api.propublica.org/congress/v1/members/M001153.json,1694,,Lisa,Murkowski,Lisa Murkowski,,2016,0,LisaMurkowski
D,502,3,,http://www.murphy.senate.gov/rss/feeds/?press,murphy.senate.gov,94.99,,kg:/m/0cy_dh,M001169,CT,chrismurphyct,3,http://www.murphy.senate.gov,0.6,https://api.propublica.org/congress/v1/members/M001169.json,1837,S.,Christopher,Murphy,Christopher Murphy,,2018,0,ChrisMurphyCT
D,502,9,,http://www.mccaskill.senate.gov/rss/feeds/?press,www.mccaskill.senate.gov,85.42,1.31498E+11,kg:/m/040_w4,M001170,MO,senatormccaskill,22,http://www.mccaskill.senate.gov,4.38,https://api.propublica.org/congress/v1/members/M001170.json,1820,,Claire,McCaskill,Claire McCaskill,,2018,0,clairecmc
D,502,7,,https://www.merkley.senate.gov/rss/feeds/,,92.15,74374931545,kg:/m/026k60f,M001176,OR,jeffmerkley,5,https://www.merkley.senate.gov,1,https://api.propublica.org/congress/v1/members/M001176.json,1900,,Jeff,Merkley,Jeff Merkley,,2020,0,SenJeffMerkley
D,502,7,,http://www.manchin.senate.gov/public/index.cfm/rss/feed,www.manchin.senate.gov,70.99,1.01501E+16,kg:/m/04lc5t,M001183,WV,JoeManchinIII,9,http://www.manchin.senate.gov,1.79,https://api.propublica.org/congress/v1/members/M001183.json,1983,,Joe,Manchin III,Joe Manchin III,,2018,0,Sen_JoeManchin
D,502,15,,,billnelson.senate.gov,92.34,,kg:/m/01_pb_,N000032,FL,,32,https://www.billnelson.senate.gov,6.37,https://api.propublica.org/congress/v1/members/N000032.json,859,,Bill,Nelson,Bill Nelson,,2018,0,SenBillNelson
R,502,5,,http://www.portman.senate.gov/public/index.cfm/rss/feed,,84.65,45243961073,kg:/m/0343xg,P000449,OH,senrobportman,7,http://www.portman.senate.gov,1.39,https://api.propublica.org/congress/v1/members/P000449.json,924,,Rob,Portman,Rob Portman,,2016,0,SenRobPortman
D,502,1,,,peters.house.gov,95.35,88851604323,kg:/m/02x0lnt,P000595,MI,RepGaryPeters,7,http://www.peters.senate.gov,1.39,https://api.propublica.org/congress/v1/members/P000595.json,1929,,Gary,Peters,Gary Peters,,2020,0,SenGaryPeters
R,502,5,,https://www.paul.senate.gov/rss/feeds/,,74.9,1.61355E+14,kg:/m/05pdb7q,P000603,KY,SenatorRandPaul,24,https://www.paul.senate.gov,4.78,https://api.propublica.org/congress/v1/members/P000603.json,2082,,Rand,Paul,Rand Paul,,2016,1,RandPaul
R,502,1,,,,88.87,,kg:/m/03wp8v4,P000612,GA,,8,http://www.perdue.senate.gov,1.59,https://api.propublica.org/congress/v1/members/P000612.json,2286,,David,Perdue,David Perdue,,2020,0,sendavidperdue
D,502,19,,https://www.reed.senate.gov/rss/feeds/?type=press,,95.82,2.13866E+14,kg:/m/0202mc,R000122,RI,SenJackReed,0,http://www.reed.senate.gov,0,https://api.propublica.org/congress/v1/members/R000122.json,949,,Jack,Reed,Jack Reed,,2020,0,SenJackReed
D,502,29,,http://www.reid.senate.gov/press_releases/feed,www.reid.senate.gov,94.1,3.60249E+14,kg:/m/0204x1,R000146,NV,SenatorReid,61,http://www.reid.senate.gov,12.15,https://api.propublica.org/congress/v1/members/R000146.json,952,,Harry,Reid,Harry Reid,,2016,0,SenatorReid
R,502,19,,http://www.roberts.senate.gov/public/index.cfm?a=RSS.Feed,,94.09,2.05695E+14,kg:/m/01_pdv,R000307,KS,SenPatRoberts,11,http://www.roberts.senate.gov,2.19,https://api.propublica.org/congress/v1/members/R000307.json,968,,Pat,Roberts,Pat Roberts,,2020,0,SenPatRoberts
R,502,7,,,www.risch.senate.gov,88.96,,kg:/m/06y9p0,R000584,ID,,4,http://www.risch.senate.gov,0.8,https://api.propublica.org/congress/v1/members/R000584.json,1896,,Jim,Risch,Jim Risch,,2020,0,SenatorRisch
